==== 下列 (i, j) 中, 'ours' 的平均Dice为最高 ====
(i=263, j=1), ours dice=0.0819
(i=263, j=2), ours dice=0.0901
(i=264, j=0), ours dice=0.0697
(i=264, j=3), ours dice=0.0856
(i=265, j=2), ours dice=0.0408
(i=265, j=5), ours dice=0.0474
(i=266, j=4), ours dice=0.0342
(i=268, j=0), ours dice=0.0365
(i=268, j=1), ours dice=1.0000
(i=268, j=2), ours dice=1.0000
(i=268, j=3), ours dice=0.0134
(i=268, j=4), ours dice=0.0236
(i=269, j=2), ours dice=0.0404
(i=270, j=2), ours dice=0.0551
(i=271, j=2), ours dice=0.0483
(i=271, j=5), ours dice=0.0785
(i=272, j=0), ours dice=0.0949
(i=272, j=1), ours dice=0.0663
(i=273, j=3), ours dice=0.0793
(i=273, j=5), ours dice=0.0851
(i=274, j=2), ours dice=0.0651
(i=276, j=1), ours dice=0.0506
(i=276, j=5), ours dice=0.0885
(i=277, j=4), ours dice=0.0676
(i=278, j=0), ours dice=0.0904
(i=278, j=4), ours dice=0.0801
(i=279, j=0), ours dice=0.0566
(i=279, j=2), ours dice=0.0757
(i=279, j=4), ours dice=0.0468
(i=279, j=5), ours dice=0.0776
(i=280, j=0), ours dice=0.0828
(i=280, j=5), ours dice=0.0725
(i=281, j=2), ours dice=0.0245
(i=282, j=1), ours dice=0.0772
(i=282, j=2), ours dice=0.0731
(i=282, j=3), ours dice=0.0620
(i=282, j=4), ours dice=0.0510
(i=283, j=2), ours dice=0.0786
(i=283, j=4), ours dice=0.0492
(i=285, j=3), ours dice=0.0599
(i=285, j=4), ours dice=0.0683
(i=286, j=3), ours dice=0.1054
(i=286, j=5), ours dice=0.0709
(i=287, j=0), ours dice=0.0387
(i=287, j=3), ours dice=0.0356
(i=288, j=2), ours dice=0.0454
(i=288, j=3), ours dice=0.0069
(i=288, j=5), ours dice=0.0104
(i=289, j=0), ours dice=0.0493
(i=289, j=1), ours dice=0.0372
(i=289, j=2), ours dice=0.0571
(i=289, j=3), ours dice=0.0539
(i=289, j=4), ours dice=0.0338
(i=290, j=0), ours dice=0.0480
(i=290, j=3), ours dice=0.0799
(i=291, j=1), ours dice=0.0359
(i=292, j=3), ours dice=0.0672
(i=293, j=2), ours dice=0.0841
(i=293, j=5), ours dice=0.0480
(i=294, j=3), ours dice=0.0689
(i=297, j=0), ours dice=0.0960
(i=298, j=1), ours dice=0.0423
(i=299, j=0), ours dice=0.1250
(i=299, j=5), ours dice=0.0348
(i=300, j=1), ours dice=0.0486

共有 231 个 (i,j) 使得 'ours' 的Dice分数为最高。
